,timestamp,ch1_bias,ch1_derivedPk,ch1_direct,ch1_directRMS,ch1_velocityPk,ch1_velocityRMS,ch2_bias,ch2_derivedPk,ch2_direct,ch2_directRMS,ch2_velocityPk,ch2_velocityRMS,status,volts
183,1/23/2025 13:05,-11.983,0.032,0.072,0.023,0.039,0.022,-12.024,0.048,0.133,0.034,0.039,0.024,baseline,50
184,1/23/2025 13:05,-11.983,0.03,0.082,0.021,0.037,0.02,-12.024,0.053,0.105,0.037,0.039,0.024,baseline,50
185,1/23/2025 13:05,-11.983,0.033,0.069,0.023,0.038,0.023,-12.024,0.042,0.115,0.029,0.044,0.021,baseline,50
186,1/23/2025 13:05,-11.983,0.028,0.071,0.02,0.04,0.023,-12.024,0.048,0.109,0.034,0.042,0.022,baseline,50
187,1/23/2025 13:05,-11.983,0.027,0.079,0.019,0.04,0.02,-12.024,0.049,0.099,0.035,0.04,0.024,baseline,50
188,1/23/2025 13:05,-11.983,0.031,0.07,0.022,0.038,0.021,-12.024,0.04,0.106,0.029,0.04,0.022,baseline,50
189,1/23/2025 13:05,-11.983,0.031,0.069,0.022,0.038,0.023,-12.024,0.047,0.124,0.033,0.041,0.021,baseline,50
190,1/23/2025 13:05,-11.983,0.028,0.077,0.02,0.041,0.02,-12.024,0.04,0.115,0.028,0.042,0.024,baseline,50
191,1/23/2025 13:06,-11.983,0.028,0.079,0.02,0.04,0.02,-12.024,0.046,0.102,0.032,0.04,0.024,baseline,50
192,1/23/2025 13:06,-11.983,0.032,0.07,0.022,0.037,0.023,-12.024,0.038,0.107,0.027,0.039,0.023,baseline,50
193,1/23/2025 13:06,-11.983,0.029,0.069,0.021,0.04,0.023,-12.024,0.05,0.12,0.035,0.041,0.023,baseline,50
